,name,type,label,exclam.,det.,conj.,number,pron.,prep.,adv.,adj.,v.,n.
10102,constitutional ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10103,constraint ,n.,C1,0,0,0,0,0,0,0,0,0,1
10104,consultation ,n.,C1,0,0,0,0,0,0,0,0,0,1
10105,contemplate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10106,contempt ,n.,C1,0,0,0,0,0,0,0,0,0,1
10107,contend ,v.,C1,0,0,0,0,0,0,0,0,1,0
10108,contender ,n.,C1,0,0,0,0,0,0,0,0,0,1
10109,content2 ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10110,contention ,n.,C1,0,0,0,0,0,0,0,0,0,1
10111,continually ,adv.,C1,0,0,0,0,0,0,1,0,0,0
10112,contractor ,n.,C1,0,0,0,0,0,0,0,0,0,1
10113,contradiction ,n.,C1,0,0,0,0,0,0,0,0,0,1
10114,contrary ,"adj.,n.",C1,0,0,0,0,0,0,0,1,0,1
10115,contrary ,"adj.,n.",C1,0,0,0,0,0,0,0,1,0,1
10116,contributor ,n.,C1,0,0,0,0,0,0,0,0,0,1
10117,conversion ,n.,C1,0,0,0,0,0,0,0,0,0,1
10118,convict ,v.,C1,0,0,0,0,0,0,0,0,1,0
10119,conviction ,n.,C1,0,0,0,0,0,0,0,0,0,1
10120,cooperate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10121,cooperative ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10122,coordinate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10123,coordination ,n.,C1,0,0,0,0,0,0,0,0,0,1
10124,coordinator ,n.,C1,0,0,0,0,0,0,0,0,0,1
10125,cop ,n.,C1,0,0,0,0,0,0,0,0,0,1
10126,copper ,n.,C1,0,0,0,0,0,0,0,0,0,1
10127,copyright ,n.,C1,0,0,0,0,0,0,0,0,0,1
10128,correction ,n.,C1,0,0,0,0,0,0,0,0,0,1
10129,correlate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10130,correlation ,n.,C1,0,0,0,0,0,0,0,0,0,1
10131,correspond ,v.,C1,0,0,0,0,0,0,0,0,1,0
10132,correspondence ,n.,C1,0,0,0,0,0,0,0,0,0,1
10133,correspondent ,n.,C1,0,0,0,0,0,0,0,0,0,1
10134,corresponding ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10135,corrupt ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10136,corruption ,n.,C1,0,0,0,0,0,0,0,0,0,1
10137,costly ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10138,councillor ,n.,C1,0,0,0,0,0,0,0,0,0,1
10139,counselling ,n.,C1,0,0,0,0,0,0,0,0,0,1
10140,counsellor ,n.,C1,0,0,0,0,0,0,0,0,0,1
10141,counter ,v.,C1,0,0,0,0,0,0,0,0,1,0
10142,counterpart ,n.,C1,0,0,0,0,0,0,0,0,0,1
10143,countless ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10144,coup ,n.,C1,0,0,0,0,0,0,0,0,0,1
10145,courtesy ,n.,C1,0,0,0,0,0,0,0,0,0,1
10146,craft ,v.,C1,0,0,0,0,0,0,0,0,1,0
10147,crawl ,v.,C1,0,0,0,0,0,0,0,0,1,0
10148,creator ,n.,C1,0,0,0,0,0,0,0,0,0,1
10149,credibility ,n.,C1,0,0,0,0,0,0,0,0,0,1
10150,credible ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10151,creep ,v.,C1,0,0,0,0,0,0,0,0,1,0
10152,critique ,n.,C1,0,0,0,0,0,0,0,0,0,1
10153,crown ,n.,C1,0,0,0,0,0,0,0,0,0,1
10154,crude ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10155,crush ,v.,C1,0,0,0,0,0,0,0,0,1,0
10156,crystal ,n.,C1,0,0,0,0,0,0,0,0,0,1
10157,cult ,"n.,adj.",C1,0,0,0,0,0,0,0,1,0,1
10158,cult ,"n.,adj.",C1,0,0,0,0,0,0,0,1,0,1
10159,cultivate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10160,curiosity ,n.,C1,0,0,0,0,0,0,0,0,0,1
10161,custody ,n.,C1,0,0,0,0,0,0,0,0,0,1
10162,cutting ,n.,C1,0,0,0,0,0,0,0,0,0,1
10163,cynical ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10164,dam ,n.,C1,0,0,0,0,0,0,0,0,0,1
10165,damaging ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10166,dawn ,n.,C1,0,0,0,0,0,0,0,0,0,1
10167,debris ,n.,C1,0,0,0,0,0,0,0,0,0,1
10168,debut ,n.,C1,0,0,0,0,0,0,0,0,0,1
10169,decision-making ,n.,C1,0,0,0,0,0,0,0,0,0,1
10170,decisive ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10171,declaration ,n.,C1,0,0,0,0,0,0,0,0,0,1
10172,dedicated ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10173,dedication ,n.,C1,0,0,0,0,0,0,0,0,0,1
10174,deed ,n.,C1,0,0,0,0,0,0,0,0,0,1
10175,deem ,v.,C1,0,0,0,0,0,0,0,0,1,0
10176,default ,n.,C1,0,0,0,0,0,0,0,0,0,1
10177,defect ,n.,C1,0,0,0,0,0,0,0,0,0,1
10178,defensive ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10179,deficiency ,n.,C1,0,0,0,0,0,0,0,0,0,1
10180,deficit ,n.,C1,0,0,0,0,0,0,0,0,0,1
10181,defy ,v.,C1,0,0,0,0,0,0,0,0,1,0
10182,delegate ,n.,C1,0,0,0,0,0,0,0,0,0,1
10183,delegation ,n.,C1,0,0,0,0,0,0,0,0,0,1
10184,delicate ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10185,demon ,n.,C1,0,0,0,0,0,0,0,0,0,1
10186,denial ,n.,C1,0,0,0,0,0,0,0,0,0,1
10187,denounce ,v.,C1,0,0,0,0,0,0,0,0,1,0
10188,dense ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10189,density ,n.,C1,0,0,0,0,0,0,0,0,0,1
10190,dependence ,n.,C1,0,0,0,0,0,0,0,0,0,1
10191,depict ,v.,C1,0,0,0,0,0,0,0,0,1,0
10192,deploy ,v.,C1,0,0,0,0,0,0,0,0,1,0
10193,deployment ,n.,C1,0,0,0,0,0,0,0,0,0,1
10194,deposit ,v.,C1,0,0,0,0,0,0,0,0,1,0
10195,deprive ,v.,C1,0,0,0,0,0,0,0,0,1,0
10196,deputy ,n.,C1,0,0,0,0,0,0,0,0,0,1
10197,descend ,v.,C1,0,0,0,0,0,0,0,0,1,0
10198,descent ,n.,C1,0,0,0,0,0,0,0,0,0,1
10199,designate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10200,desirable ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10201,desktop ,n.,C1,0,0,0,0,0,0,0,0,0,1
10202,destructive ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10203,detain ,v.,C1,0,0,0,0,0,0,0,0,1,0
10204,detection ,n.,C1,0,0,0,0,0,0,0,0,0,1
10205,detention ,n.,C1,0,0,0,0,0,0,0,0,0,1
10206,deteriorate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10207,devastate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10208,devil ,n.,C1,0,0,0,0,0,0,0,0,0,1
10209,devise ,v.,C1,0,0,0,0,0,0,0,0,1,0
10210,diagnose ,v.,C1,0,0,0,0,0,0,0,0,1,0
10211,diagnosis ,n.,C1,0,0,0,0,0,0,0,0,0,1
10212,dictate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10213,dictator ,n.,C1,0,0,0,0,0,0,0,0,0,1
10214,differentiate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10215,dignity ,n.,C1,0,0,0,0,0,0,0,0,0,1
10216,dilemma ,n.,C1,0,0,0,0,0,0,0,0,0,1
10217,dimension ,n.,C1,0,0,0,0,0,0,0,0,0,1
10218,diminish ,v.,C1,0,0,0,0,0,0,0,0,1,0
10219,dip ,v.,C1,0,0,0,0,0,0,0,0,1,0
